,File,HLA,Avg_Token_NLL,model_path
1430,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAC1203_2_per_token_metrics.csv,C1203,13.866263820479528,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC1203/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAC1203_2.pt
1668,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAB4501_2_per_token_metrics.csv,B4501,13.88422007338111,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB4501/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAB4501_2.pt
604,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAA3303_1_per_token_metrics.csv,A3303,13.912234067919872,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3303/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAA3303_1.pt
1462,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAB3901_2_per_token_metrics.csv,B3901,13.921294211727576,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB3901/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAB3901_2.pt
1530,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAC0401_2_per_token_metrics.csv,C0401,13.93310574328429,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0401/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAC0401_2.pt
1616,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAA2403_1_per_token_metrics.csv,A2403,13.955193202032325,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA2403/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAA2403_1.pt
1752,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_1_HLAB1801_1_per_token_metrics.csv,B1801,13.985608683803523,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB1801/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_1_HLAB1801_1.pt
1427,ESMMASK_epitope_FT_25_0.001_1e-06_AUG_1_HLAC1203_1_per_token_metrics.csv,C1203,14.043229835224338,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC1203/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_1_HLAC1203_1.pt
148,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAC0702_1_per_token_metrics.csv,C0702,14.081525270844013,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0702/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAC0702_1.pt
128,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAC0102_1_per_token_metrics.csv,C0102,14.096993740924518,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0102/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAC0102_1.pt
