HLA,group_label,training_data,n_reps,mean,std
B0801,Non-PT H 30L,2255.2999999999997,3,0.43318012358873753,0.06290348289501528
B0801,PT E 0L,474.8,3,0.2061750738789471,0.025906555995568653
B0801,PT E 0L,949.6,3,0.2131004693294857,0.05337153333672363
B0801,PT E 0L,1424.3999999999999,4,0.24456395283511226,0.03551834073932308
B0801,PT E 30L,474.8,4,0.30231368247072005,0.0658974609395614
B0801,PT E 30L,949.6,3,0.39371209320557093,0.04508877027601925
B0801,PT E 30L,1424.3999999999999,4,0.43519050537486476,0.011575561229298339
B0801,PT H 0L,474.8,4,-0.04570760997355475,0.03774689400004259
B0801,PT H 0L,949.6,4,0.14047122500257508,0.06105519370129428
B0801,PT H 0L,1424.3999999999999,4,0.13541837579764326,0.023702225265947882
B0801,PT H 30L,1424.3999999999999,3,0.4538487309818984,0.036308324309431886
