,HLA,Losses,encoding,data_prop,trained_blocks,lr_transformer,lr_regression,n_evaluations,spearman,pearsonr,mse,mae,r2,rmse,time,path,Model,rank_mse,rank_corr,rank_sum
7093,C0501,Hubber,epitope,0.4,0,0.0001,0.0001,6,0.8116794499134278,0.7013028980598426,0.33932178621727394,0.4446576833724976,0.06363881253185621,0.5825133356561667,2025-05-28 11:03:28,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.4_0_ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_1_C0501_2_0.0001_0.0001__2_C0501_0404_Hubber_C0501.csv,C0501 epitope,3.0,4.0,7.0
4978,B5401,Hubber,HLA,0.95,30,,4,46,0.8102624198246282,0.7968191294527045,0.4056956287721116,0.5071443889452064,0.5950918899208462,0.6369424061656687,2025-05-28 19:39:49,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.95_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_B5401_0404_Hubber_B5401.csv,B5401 HLA,1.0,1.0,2.0
73,B4601,Hubber,HLA,0.95,30,0.0001,0.0001,35,0.8068584189331369,0.887213531605653,0.21056593340934252,0.29933788095201763,0.7628422871982528,0.4588746380105818,2025-04-23 02:18:30,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.001_1e-06_AUG_3_B4601_1_0.0001_0.0001__1_B4601_0404_Hubber_B4601.csv,B4601 HLA,1.0,2.0,3.0
1627,A2603,Hubber,epitope,0.8,30,,5,8,0.80511756018254,0.8824739106950888,0.5312872304334065,0.6348190307617188,0.41802134326038354,0.7288945262748284,2025-05-28 13:16:04,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.8_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_A2603_0404_Hubber_A2603.csv,A2603 epitope,4.0,1.0,5.0
4961,A1101,Hubber,HLA,0.6,30,0.0001,0.0001,110,0.8001525426741523,0.7799147592376227,0.784408177752744,0.7300405064767057,0.5864859988676239,0.8856682097449043,2025-05-28 20:33:19,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.6_30_ESMMASK_HLA_FT_25_0.001_1e-06_AUG_4_A1101_1_0.0001_0.0001__8_A1101_0404_Hubber_A1101.csv,A1101 HLA,1.0,1.0,2.0
7044,B5301,Hubber,epitope,0.95,30,0.0001,0.0001,87,0.7953978998418624,0.7907519545625329,0.46619247132240005,0.5235895371471329,0.6222591855741659,0.682782887397158,2025-05-28 21:43:30,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_4_B5301_2_0.0001_0.0001__8_B5301_0404_Hubber_B5301.csv,B5301 epitope,1.0,1.0,2.0
4693,B8301,Hubber,HLA,0.8,30,,4,15,0.7943340313042001,0.8106016839832264,0.18632456701097153,0.2945764223734538,0.6397843940856082,0.4316532949149949,2025-05-28 18:39:44,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.8_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_B8301_0404_Hubber_B8301.csv,B8301 HLA,2.0,4.0,6.0
277,C0702,Hubber,epitope,0.95,30,0.0001,0.0001,11,0.790909090909091,0.8097205850185589,0.30136957460199965,0.41834483363411645,0.5853742497835908,0.5489713786728773,2025-04-23 02:20:37,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_15_0.0001_1e-06_AUG_4_C0702_2_0.0001_0.0001__1_C0702_0404_Hubber_C0702.csv,C0702 epitope,4.0,2.0,6.0
3666,B1801,Hubber,epitope,0.8,30,0.0001,0.0001,12,0.7902097902097903,0.876239025413073,0.9917300066378258,0.8759818077087402,0.6503102890956464,0.9958564186858595,2025-05-28 22:34:06,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_25_0.001_5e-05_AUG_4_B1801_2_0.0001_0.0001__7_B1801_0404_Hubber_B1801.csv,B1801 epitope,1.0,4.5,5.5
1102,B4601,Hubber,epitope,0.8,30,,4,32,0.7892340660464077,0.7595405858885336,0.4423150164598507,0.46031335927546024,0.5289748302637062,0.6650676781049059,2025-05-28 13:57:06,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.8_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_B4601_0404_Hubber_B4601.csv,B4601 epitope,7.0,5.0,12.0
