,HLA,Losses,encoding,data_prop,trained_blocks,lr_transformer,lr_regression,n_evaluations,spearman,pearsonr,mse,mae,r2,rmse,time,path,Model,rank_mse,rank_corr,rank_sum,pretrain
2144,A3201,Hubber,epitope,0.6,0,,5.0,2,0.0,0.0,0.3758372918828545,0.4662193953990936,0.1407790691626228,0.6130557004733376,2025-05-28 13:47:49,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.6_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_A3201_0404_Hubber_A3201.csv,A3201 epitope,1.0,27.5,28.5,Not Pretrained
6767,A3201,Hubber,HLA,0.6,30,0.0001,0.0001,2,0.0,0.0,0.5065691898763323,0.6739632785320282,-0.1580938354428749,0.7117367419743991,2025-05-28 21:29:08,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.6_30_ESMMASK_HLA_FT_15_0.001_5e-05_AUG_4_A3201_1_0.0001_0.0001__7_A3201_0404_Hubber_A3201.csv,A3201 HLA,1.0,24.5,25.5,Pretrained
1607,A6802,Hubber,HLA,0.4,0,,5.0,2,0.0,0.0,0.1175723714876131,0.3414504826068879,-0.8011851610407457,0.3428882784342637,2025-05-28 18:19:27,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_A6802_0404_Hubber_A6802.csv,A6802 HLA,1.0,23.0,24.0,Not Pretrained
2647,A0206,Hubber,HLA,0.8,0,,2.0,2,0.0,0.0,0.1739209521208096,0.4170185327529907,-13.86735502897122,0.4170383101356632,2025-05-29 19:57:37,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.8_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__2_A0206_0404_Hubber_A0206.csv,A0206 HLA,1.0,24.5,25.5,Not Pretrained
1505,B2704,Hubber,HLA,0.4,30,,2.0,2,0.0,0.0,0.0078351022017386,0.0760624408721923,-2.3385812636567307,0.0885161126673481,2025-05-29 08:45:40,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__2_B2704_0404_Hubber_B2704.csv,B2704 HLA,1.0,24.0,25.0,Not Pretrained
4736,A3207,Hubber,epitope,0.4,30,0.0001,0.0001,2,0.0,0.0,0.037576541001414,0.1825166940689088,-1.6358938363692674,0.1938466945847001,2025-05-28 22:53:18,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.4_30_ESMMASK_epitope_FT_20_0.001_5e-05_AUG_4_A3207_2_0.0001_0.0001__7_A3207_0404_Hubber_A3207.csv,A3207 epitope,1.0,27.0,28.0,Pretrained
4327,B3501,Hubber,HLA,0.4,0,,5.0,2,0.0,0.0,0.5488362316917872,0.7201992869377136,-0.2303397252680972,0.7408348207878644,2025-05-28 17:14:40,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_B3501_0404_Hubber_B3501.csv,B3501 HLA,1.0,14.5,15.5,Not Pretrained
3148,A6601,Hubber,HLA,0.8,30,0.0001,0.0001,3,0.0,0.0,0.0089133760054665,0.0943814913431804,0.0,0.0944106773912067,2025-05-28 21:27:16,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_3_A6601_1_0.0001_0.0001__8_A6601_0404_Hubber_A6601.csv,A6601 HLA,1.0,22.5,23.5,Pretrained
5175,B2720,Hubber,HLA,0.8,30,,5.0,3,0.0,0.0,0.0114998798747289,0.1010041236877441,-0.1537118692519483,0.1072374928592091,2025-05-28 17:22:47,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.8_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_B2720_0404_Hubber_B2720.csv,B2720 HLA,1.0,22.5,23.5,Not Pretrained
2922,B4013,Hubber,HLA,0.6,30,,4.0,3,0.0,0.0,0.0003778029483404,0.012088139851888,-1.6057584296066918,0.0194371538127475,2025-05-28 19:51:37,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.6_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_B4013_0404_Hubber_B4013.csv,B4013 HLA,1.0,22.5,23.5,Not Pretrained
